FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_MCAL_MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_ BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_OP_OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,INTER_TFR,CONTRIBTNS,INC_INVEST,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CUR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_ REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER-REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,YEAR,Year,Income_by_year
106150788,ADVENTIST HEALTH BAKERSFIELD,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,DANIEL WOLCOTT,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/BAKERSFIELD,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0455,HSC30455F,ZZT30455F,254,254,195,13520.0,14215.0,3288.0,14021.0,,4867.0,18095.0,,865.0,68871,3104.0,3123.0,748.0,3280.0,,950.0,4372.0,,176.0,15753,254.0,,,,,,68871.0,,,,,,15753.0,,,,,,74.3,74.3,4.4,4.4,,,,58971.0,25180.0,4967.0,54175.0,,14447.0,91695.0,,7956.0,257391.0,57852.0,179810.0,,30165.0,,4.0,267135.0,419417.0,3290.0,5590.0,1584.0,569.0,2493914916,2015638252.0,,478276664,17363689.0,486040726,9599627.0,5763534.0,11081909.0,,4281252.0,445991253,288888220.0,1759035443.0,311763544.0,336988963.0,63391675.0,287899803.0,,97633580.0,378395297.0,,15692414.0,1491765276.0,198199665.0,150504901.0,18521170.0,219516658.0,,83858794.0,313536986.0,,18011466.0,1002149640.0,432786628.0,411441135.0,60117014.0,406270546.0,,,134935479.0,520543019.0,10750497.0,4338718.0,,34455216.0,,,,76016756.0,74991758.0,21317415.0,100130013.0,,40953543.0,162812982.0,,2054197.0,,,4479893.0,,87241254.0,45132727.0,159169162.0,,,96242.0,,46263019.0,1004876.0,137130309.0,10003137.0,113214842.0,53963155.0,33306734.0,28561143.0,90316883.0,86202888.0,9455782.0,2633411.0,1494459.0,2620497.0,64270932.0,248677553.0,,138580874.0,2820998.0,,287182.0,390366607.0,82561398.0,,101285539.0,206519670.0,390366607.0,98917416.0,392981571.0,-327806553.0,183973032.0,127224249.0,337689332.0,199108458.0,2056268.0,8809850.0,,105124145.0,3838606.0,21977098.0,130521492.0,1207.0,586.0,2352723.0,315106.0,2667829.0,562.0,,165313.0,826431.0,856022.0,15880.0,196748.0,125549.0,,10143.0,150448.0,6189.0,842675.0,419167.0,734531.0,1415.0,179012.0,5017.0,170906.0,961859.0,480782.0,834805.0,1664.0,196079.0,5566.0,187074.0,2021,2021,2797901180.0
106171049,ADVENTIST HEALTH CLEARLAKE,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Lake,1,115,Non-Profit,General,Comparable,Rural,707-995-5705,15630 18TH AVENUE,CLEARLAKE,95422,COLLEEN ASSAVAPISITKUL,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/CLEAR-LAKE,ADVENTIST HEALTH,JOLYNE SCHNEIDER,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1317,1124018031,,25,25,18,3020.0,389.0,127.0,1675.0,,407.0,365.0,4.0,91.0,6078,613.0,75.0,41.0,442.0,,62.0,96.0,1.0,23.0,1353,23.0,,,,2.0,,5699.0,,,,379.0,,1313.0,,,,40.0,,66.6,66.6,4.5,4.3,,,,132307.0,12367.0,48390.0,114527.0,,8840.0,50774.0,45.0,7215.0,374465.0,17862.0,251510.0,,104029.0,,2.0,9540.0,107790.0,142.0,1785.0,125.0,32.0,423083664,276800627.0,7043897.0,153326934,6998853.0,177554846,-17229059.0,2979740.0,224413.0,,-14473732.0,39539179,148203857.0,235340628.0,46877713.0,6181877.0,2320269.0,27506079.0,,5951634.0,6395627.0,50482.0,1248706.0,96532387.0,119448848.0,12263620.0,19921066.0,106342930.0,,13250223.0,45439979.0,60796.0,9823815.0,326551277.0,107212060.0,10628012.0,3143908.0,102976306.0,-1169250.0,,12275927.0,27789613.0,4721105.0,1697649.0,,7525297.0,,4413896.0,2630001.0,57292588.0,7520061.0,18245918.0,34025813.0,,6065179.0,25458047.0,,4719328.0,,,1977.0,,12698985.0,62027372.0,33026871.0,,,42478.0,,14799941.0,6534223.0,42837550.0,5587426.0,46147087.0,22678367.0,27784369.0,3842412.0,13305639.0,51234157.0,3748608.0,1314044.0,483783.0,1909047.0,5107333.0,80776693.0,,39687565.0,1125701.0,,237616.0,121827575.0,48665844.0,,65834360.0,7327371.0,121827575.0,31385255.0,38598533.0,-6845377.0,46286882.0,30979252.0,93387358.0,53699793.0,,,65338000.0,70607818.0,4773458.0,1283006.0,10961427.0,569.0,206.0,1061183.0,140457.0,1201640.0,64.0,,90798.0,140340.0,129860.0,32774.0,249561.0,320422.0,46569.0,32299.0,15862.0,2698.0,94092.0,607511.0,193292.0,,69547.0,,96741.0,105165.0,694222.0,218209.0,,79039.0,,105005.0,2021,2021,2797901180.0
106150706,ADVENTIST HEALTH DELANO,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DANIEL WOLCOTT,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/DELANO,ADVENTIST HEALTH,MATT BEYMER,"TOYON ASSOCIATES, INC.",,05-0608,HSC30608G,ZZT60608G,156,156,77,7961.0,1545.0,10111.0,3755.0,,1172.0,1038.0,,156.0,25738,529.0,184.0,734.0,425.0,,138.0,82.0,,23.0,2115,105.0,,,,51.0,,8900.0,,,,16838.0,,2092.0,,,,23.0,,45.2,45.2,12.2,4.3,16.0,916.0,536.0,8971.0,4278.0,7373.0,42806.0,,11920.0,4312.0,,4159.0,83819.0,23564.0,18002.0,,42293.0,,4.0,38280.0,63120.0,638.0,1052.0,355.0,167.0,224116455,125219501.0,,98896954,4812451.0,102627401,1082004.0,4963617.0,241741.0,,5803880.0,37494583,31349569.0,155272303.0,33711059.0,11829330.0,45362696.0,26670773.0,,8958198.0,5428418.0,,1752326.0,133712800.0,10583842.0,5043373.0,6690607.0,44497891.0,,14016362.0,4737203.0,,4834377.0,90403655.0,31420315.0,7634725.0,24319482.0,41314482.0,-3616918.0,,13008534.0,4367639.0,3050704.0,749338.0,,2971200.0,,,,12377828.0,8736013.0,29235474.0,31887360.0,,8689851.0,3795461.0,,4174967.0,,27633.0,4631838.0,,20493948.0,13775225.0,27363206.0,,,,,13938166.0,1595954.0,21205191.0,4255711.0,26365867.0,11838043.0,8927112.0,8315741.0,13273087.0,19714874.0,5699696.0,544883.0,365631.0,452396.0,7130071.0,153989039.0,,48108715.0,64568.0,,,202162322.0,20546732.0,,15032316.0,166583274.0,202162322.0,119535557.0,23800758.0,-14625224.0,81919349.0,63541961.0,155646957.0,107538242.0,,233422.0,15000000.0,15233422.0,201106.0,529381.0,5280528.0,412.0,180.0,811389.0,78869.0,890258.0,108.0,,50010.0,256670.0,134251.0,62059.0,147753.0,88821.0,31135.0,8386.0,30683.0,1621.0,277092.0,126707.0,217637.0,,79537.0,44751.0,65665.0,305898.0,138057.0,240843.0,,86216.0,48319.0,70925.0,2021,2021,2797901180.0
106190323,ADVENTIST HEALTH GLENDALE,2021-01-01,2021-12-31,365,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,909,Non-Profit,General,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,ALICE ISSAI,CEO/PRESIDENT,GLENDALEADVENTIST.COM,ADVENTIST HEALTH,ALEX JUNG,"TOYON ASSOCIATES, INC.",,05-0239,HSC30067F,ZZT30067F,515,450,294,37303.0,10237.0,12722.0,15669.0,,13039.0,13685.0,,1155.0,103810,6826.0,2004.0,1773.0,2960.0,,1065.0,2254.0,,95.0,16977,367.0,80.0,,28.0,40.0,,71090.0,14259.0,,6420.0,12041.0,,14055.0,1505.0,,509.0,908.0,,55.2,63.2,6.1,5.7,30.0,2894.0,1580.0,58068.0,15100.0,3966.0,41771.0,,2958.0,48486.0,,3669.0,174018.0,43947.0,31957.0,,95857.0,,8.0,233940.0,239910.0,2784.0,3168.0,1023.0,680.0,3097907515,2612737417.0,,485170098,8697016.0,536212249,-42345135.0,13782758.0,17559570.0,,-46121947.0,679274542,314108124.0,2104524849.0,900914276.0,269885009.0,168363234.0,401591310.0,,68504797.0,314846361.0,,12572431.0,2136677418.0,281997549.0,96065090.0,23211505.0,248855155.0,,17642823.0,274375529.0,,19082446.0,961230097.0,1021745613.0,300225486.0,153064222.0,548096778.0,,,78462242.0,447174852.0,9411989.0,11434860.0,,43121375.0,,,,154424212.0,63345502.0,31058533.0,100275831.0,,4247197.0,129928889.0,,1889934.0,,2676357.0,2559427.0,,128743305.0,34761604.0,140163983.0,,,506456.0,6802359.0,68674584.0,8568390.0,122684853.0,25306715.0,154376774.0,61841054.0,23054710.0,29926232.0,79983264.0,99571226.0,15386039.0,5036707.0,2390833.0,5371787.0,59273623.0,152789713.0,,190090681.0,2421044.0,,5874003.0,351175441.0,102512275.0,,198916443.0,49746723.0,351175441.0,30330548.0,581995307.0,-504543150.0,396713522.0,124690356.0,535284342.0,345193661.0,,27589634.0,,205813634.0,6897191.0,19861446.0,203524473.0,1675.0,762.0,3206955.0,446589.0,3653544.0,400.0,20.0,272392.0,929261.0,1056659.0,45804.0,327721.0,203971.0,73430.0,128105.0,154330.0,15282.0,1344539.0,302273.0,840310.0,77726.0,322621.0,26046.0,293440.0,1525982.0,339475.0,944281.0,80580.0,350605.0,28726.0,383895.0,2021,2021,2797901180.0
106164029,ADVENTIST HEALTH HANFORD,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Kings,9,615,Non-Profit,General,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93232,ANDREA KOFL,PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,JENNY DABROWSKI,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-0121,1538141627,,235,235,158,14338.0,6669.0,8246.0,14969.0,,2595.0,4738.0,108.0,856.0,52519,2504.0,1167.0,1465.0,3543.0,,557.0,1173.0,21.0,222.0,10652,235.0,,,,,,52519.0,,,,,,10652.0,,,,,,61.2,61.2,4.9,4.9,8.0,3745.0,1970.0,30062.0,14691.0,11633.0,93977.0,,16462.0,43516.0,575.0,9483.0,220399.0,84401.0,104852.0,,39175.0,4188.0,10.0,149790.0,372840.0,1853.0,5103.0,1561.0,724.0,1377106722,1001782005.0,21349215.0,396673932,17875397.0,341520930,73028399.0,19836949.0,13352695.0,,79512653.0,143515177,328466312.0,905125233.0,163480130.0,74579473.0,46777248.0,166581182.0,,30669009.0,55510894.0,1102823.0,18245546.0,556946305.0,136294550.0,59244395.0,34898050.0,332683894.0,,59292646.0,165982070.0,1733675.0,30031137.0,820160417.0,234591931.0,108129704.0,45488122.0,379650641.0,-5890150.0,,57068834.0,131218180.0,12583432.0,4296332.0,,34644979.0,,21349215.0,,65182749.0,25694164.0,36132402.0,145448740.0,,32892821.0,90274784.0,,1048272.0,,,18348810.0,,55569969.0,25723463.0,98441194.0,11113347.0,,,618542.0,45918227.0,3806070.0,78242613.0,22087505.0,89425324.0,37138403.0,28178824.0,15735698.0,50519260.0,81980550.0,12955052.0,1517561.0,3506245.0,7177844.0,13386169.0,567273607.0,,170867303.0,545262.0,17586874.0,,756273046.0,76125127.0,,239115305.0,441032614.0,756273046.0,431170743.0,216118193.0,-165487340.0,259553970.0,110866647.0,394254949.0,223387646.0,,4220782.0,,241470814.0,2355509.0,2478313.0,253579146.0,1002.0,381.0,1808516.0,323594.0,2132110.0,262.0,16.0,108675.0,691653.0,603274.0,3134.0,153528.0,107442.0,80548.0,11388.0,32730.0,16144.0,573716.0,197989.0,622305.0,3836.0,197523.0,10275.0,202872.0,690397.0,237275.0,738656.0,3932.0,222055.0,10870.0,228925.0,2021,2021,2797901180.0
106390923,ADVENTIST HEALTH LODI MEMORIAL,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,San Joaquin,6,505,Non-Profit,General,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,TERRI DAY,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/LODIMEMORIAL/PAGES/HOME.ASPX,"LODI MEMORIAL HOSPITAL ASSOCIATION, INC.",RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0336,HSC00336F,ZZT00336F,194,194,90,10129.0,4996.0,2556.0,7058.0,,996.0,4752.0,,242.0,30729,2352.0,1081.0,560.0,1520.0,,226.0,1006.0,,65.0,6810,186.0,,,8.0,,,28308.0,,,2421.0,,,6637.0,,,173.0,,,43.4,43.4,4.5,4.5,15.0,1168.0,995.0,40857.0,14423.0,5717.0,51963.0,,8265.0,34416.0,,4899.0,160540.0,47317.0,56447.0,,53580.0,1598.0,6.0,98040.0,265020.0,1194.0,3505.0,574.0,357.0,1713732080,1458900346.0,156243.0,254987977,7775138.0,252443913,10319202.0,3365726.0,12000391.0,,1684537.0,325911220,207265661.0,1180555199.0,325535286.0,147042136.0,74892086.0,209158043.0,,26911072.0,145530736.0,,8674672.0,937744031.0,206235408.0,79369354.0,28742678.0,216035384.0,,29895135.0,189882256.0,,25827834.0,775988049.0,471726225.0,201975560.0,85901231.0,374446788.0,,,44783295.0,229982276.0,9499313.0,4210587.0,,36375071.0,,156243.0,,59432950.0,21710871.0,16244599.0,49421743.0,,8595052.0,98217280.0,,1365482.0,,906948.0,1633496.0,,50244926.0,30835781.0,65357080.0,2019940.0,1733200.0,,,27809709.0,828556.0,60572777.0,13041944.0,65542177.0,30249708.0,19889174.0,14638898.0,36534996.0,51441338.0,8664616.0,631824.0,652691.0,4293972.0,19904519.0,124323204.0,,109578280.0,6318088.0,125957.0,,240345529.0,62625119.0,,139092910.0,38627500.0,240345529.0,44072325.0,288179108.0,-248281047.0,189088041.0,66853633.0,274198921.0,164620641.0,,4319032.0,,143910178.0,4817268.0,6184869.0,153518090.0,684.0,295.0,1290774.0,188600.0,1479374.0,198.0,,101366.0,426271.0,397649.0,11312.0,151398.0,78191.0,52653.0,15998.0,54251.0,1685.0,357411.0,277289.0,389092.0,,132172.0,10153.0,124657.0,418030.0,317344.0,448541.0,,147349.0,11287.0,136823.0,2021,2021,2797901180.0
106231013,ADVENTIST HEALTH MENDOCINO COAST,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Mendocino,1,111,Non-Profit,General,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,JUDY LEACH,ADMINISTRATOR,WWW.ADVENTISTHEALTH.ORG/MENDOCINO-COAST,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1325,1538113725,,25,25,16,2694.0,307.0,241.0,1291.0,,543.0,11.0,18.0,63.0,5168,351.0,57.0,52.0,218.0,,105.0,2.0,4.0,18.0,807,19.0,,,,6.0,,2955.0,,,,2213.0,,669.0,,,,138.0,,56.6,56.6,6.4,4.4,,,,31594.0,4112.0,4671.0,16541.0,,11497.0,4177.0,288.0,1406.0,74286.0,7490.0,17028.0,,48634.0,,2.0,8393.0,53894.0,81.0,1620.0,,,112894569,57863812.0,198357.0,55229114,1390901.0,67685473,-11065458.0,2126132.0,1647496.0,,-10586822.0,15884985,23562567.0,73447017.0,9570677.0,1252447.0,1271578.0,12902791.0,,2874925.0,51629.0,103197.0,364432.0,28391676.0,40546684.0,4852769.0,4522315.0,17016852.0,,14778705.0,1282669.0,256567.0,1246332.0,84502893.0,23409375.0,4814441.0,3565809.0,17997802.0,,,5481764.0,694976.0,808305.0,523393.0,,567947.0,,198357.0,,26707986.0,1290775.0,2169790.0,12014863.0,,12171866.0,639322.0,,234512.0,70502.0,100500.0,9130.0,,6507788.0,12866818.0,18761556.0,,,,,9694433.0,4459810.0,12061189.0,3333879.0,18472903.0,8415535.0,8000005.0,5855053.0,9386735.0,12007529.0,138159.0,2420768.0,215629.0,908631.0,1864526.0,24277942.0,,8959550.0,173317.0,,,33410809.0,34085203.0,,4250428.0,-4924822.0,33410809.0,,18219198.0,-9338166.0,,11609607.0,11609607.0,2650057.0,,,,5875123.0,1624695.0,412618.0,5671666.0,236.0,94.0,455287.0,57108.0,512395.0,42.0,,41025.0,52722.0,64890.0,,109585.0,117305.0,43775.0,4940.0,21045.0,,66102.0,120437.0,92749.0,,67950.0,63753.0,44296.0,73335.0,135752.0,105476.0,,75843.0,72383.0,49606.0,2021,2021,2797901180.0
106100797,ADVENTIST HEALTH REEDLEY,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Fresno,9,607,Non-Profit,General,Comparable,Rural,559-638-8155,372 WEST CYPRESS AVENUE,REEDLEY,93654,ANDREA KOFL,CEO/PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,MATTHEW GOSS,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-0192,HSC00192F,,49,49,24,1754.0,635.0,1341.0,3115.0,,29.0,590.0,,270.0,7734,298.0,129.0,249.0,824.0,,11.0,192.0,,43.0,1746,28.0,,,,21.0,,4290.0,,,,3444.0,,1603.0,,,,143.0,,43.2,43.2,4.4,2.7,12.0,1790.0,1034.0,70609.0,24960.0,47009.0,317903.0,,7660.0,78634.0,,21973.0,568748.0,32022.0,493029.0,,44152.0,,3.0,3345.0,15750.0,40.0,235.0,835.0,393.0,358229362,175523322.0,1946443.0,184652483,20689448.0,202169610,3172321.0,4469690.0,,,7642011.0,17696696,191042624.0,149490042.0,8069656.0,3410668.0,7182719.0,23882394.0,,292572.0,5104670.0,,1199192.0,49141871.0,43390545.0,13599243.0,20545946.0,166848394.0,,8681867.0,44077375.0,,11944121.0,309087491.0,16036553.0,12339237.0,11099510.0,86978491.0,446625.0,,4690194.0,24584166.0,5687001.0,3411995.0,,10249550.0,6916.0,1939527.0,,33344447.0,3997772.0,16204749.0,104348308.0,,3218921.0,21685568.0,,1852718.0,,42208.0,4399500.0,,7417150.0,93148808.0,16961553.0,,440320.0,,1875994.0,10017600.0,10499336.0,51971638.0,9837211.0,48381889.0,21343639.0,36045737.0,806381.0,13163857.0,65386506.0,3900933.0,5859031.0,542315.0,1000968.0,5738354.0,205941445.0,,71819860.0,2193144.0,,9944063.0,289898512.0,63906484.0,,82262226.0,143729802.0,289898512.0,169658686.0,55017355.0,-29087584.0,33977869.0,66919672.0,109478151.0,37658291.0,,,82262226.0,85351730.0,3089504.0,227042.0,9322351.0,712.0,266.0,1320293.0,164799.0,1485092.0,132.0,12.0,106525.0,227659.0,137207.0,50716.0,362740.0,249219.0,9925.0,171966.0,3170.0,1166.0,99067.0,1005497.0,111570.0,25913.0,17273.0,382.0,60591.0,114228.0,1133282.0,126813.0,27672.0,18664.0,382.0,64051.0,2021,2021,2797901180.0
106560525,ADVENTIST HEALTH SIMI VALLEY,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Ventura,10,813,Non-Profit,General,Comparable,,805-955-6000,2975 N SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,CEO,WWW.ADVENTISTHEALTH.ORG/SIMI-VALLEY,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0236,HSC30236F,ZZT30236F,144,144,97,13343.0,6133.0,1596.0,4548.0,,513.0,7632.0,,298.0,34063,2985.0,1388.0,345.0,985.0,,113.0,1593.0,,21.0,7430,144.0,,,,,,34063.0,,,,,,7430.0,,,,,,64.8,64.8,4.6,4.6,12.0,751.0,472.0,14502.0,9729.0,2845.0,14770.0,,1558.0,27360.0,,2106.0,72870.0,33699.0,,,41045.0,,4.0,99450.0,83280.0,1212.0,1051.0,354.0,134.0,1003713094,811099685.0,,192613409,1737863.0,197986093,-3634821.0,4677458.0,4581528.0,,-3538891.0,213925161,147255367.0,642532566.0,255287423.0,123242394.0,28783230.0,83126303.0,,8859125.0,152377050.0,,3071724.0,654747249.0,73279419.0,46994384.0,14116567.0,65826031.0,,7207374.0,132303504.0,,9238566.0,348965845.0,280144509.0,145397375.0,35413453.0,125349915.0,,,12933052.0,193199004.0,4515570.0,1125910.0,,13020897.0,,,,47970816.0,24198091.0,7086992.0,23404639.0,,2068012.0,86289650.0,,1595209.0,,469432.0,851688.0,,40278943.0,15591055.0,54761443.0,,,,,24955767.0,726484.0,48927291.0,12745110.0,59215151.0,23414511.0,6263858.0,11107595.0,29756625.0,36692422.0,8655539.0,2255410.0,682010.0,3504285.0,16438687.0,46929190.0,,122977372.0,589168.0,2361696.0,2545459.0,175402885.0,45971311.0,,110307680.0,19123894.0,175402885.0,5256.0,165366562.0,-134085213.0,176510439.0,58356197.0,251635514.0,128658142.0,,8906357.0,,114141239.0,3833559.0,4188998.0,116618948.0,588.0,269.0,1123171.0,161388.0,1284559.0,303.0,,86276.0,352798.0,417663.0,89.0,89447.0,49140.0,47177.0,19050.0,51828.0,9703.0,433504.0,132768.0,327658.0,,120549.0,13782.0,94910.0,494994.0,156290.0,382223.0,,132556.0,15276.0,103220.0,2021,2021,2797901180.0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,2021-01-01,2021-12-31,365,Audited,Incl. Ind. Audit Adj.,Tuolumne,6,513,Non-Profit,General,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/SONORA,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-0335,1780673376,,152,152,105,8284.0,680.0,19684.0,3313.0,,1009.0,2634.0,,156.0,35760,1769.0,147.0,769.0,690.0,,217.0,568.0,,28.0,4188,84.0,,,,68.0,,16603.0,,,,19157.0,,3578.0,,,,610.0,,64.5,64.5,8.5,4.6,,,,196513.0,10014.0,7630.0,55373.0,,15765.0,94017.0,,6676.0,385988.0,31840.0,183808.0,,168909.0,,8.0,81315.0,316213.0,1002.0,3715.0,363.0,168.0,1272623642,982827011.0,,289796631,16354401.0,276524916,29626116.0,15115775.0,7246077.0,,37495814.0,131318514,140542630.0,1000762498.0,215920090.0,15324462.0,24781131.0,68765085.0,,22229856.0,71636010.0,,2257267.0,420913901.0,455497605.0,21439702.0,14000096.0,114239245.0,,41072139.0,193619314.0,,11841640.0,851709741.0,551244305.0,30394205.0,18735151.0,136268487.0,-130180.0,,47475052.0,175565806.0,9196532.0,2101397.0,,11976256.0,,,,116031844.0,6273742.0,19413641.0,46161226.0,,14241839.0,85885824.0,,1788515.0,-19840295.0,11766.0,7950803.0,,26402362.0,64089967.0,90024953.0,,,,,30955403.0,6188427.0,51403420.0,7460384.0,69784201.0,31482114.0,35580407.0,5020234.0,49263385.0,63750332.0,5796591.0,6122659.0,600462.0,2521853.0,6602678.0,285995625.0,,92324026.0,937501.0,,433978.0,379691130.0,53475700.0,,93930382.0,232285048.0,379691130.0,214493863.0,169683468.0,-133786663.0,110923406.0,67877505.0,196163708.0,103839682.0,,9940069.0,86374000.0,96314069.0,2383687.0,1750979.0,16032485.0,1315.0,601.0,2447304.0,296768.0,2744072.0,271.0,,121964.0,871815.0,1121828.0,100420.0,19751.0,192473.0,,10835.0,8198.0,20.0,598829.0,723282.0,750212.0,,190831.0,12189.0,171961.0,659716.0,807670.0,830885.0,,212432.0,13824.0,219545.0,2021,2021,2797901180.0
